acc,gyro,hr,latitude,longitude,city,ritmo,date,userId,weather_temperature
12.1451,5708297,191,40.411067,-8.919338,Coimbra,179.35,2024-02-07 23:45:06,user_0126,28.8
4.6387,898704,161,39.284214,-8.782884,Porto,196.05,2024-08-28 11:10:10,user_0119,7.4
1.5553,8563645,180,38.461173,-6.902551,Viseu,153.16,2024-03-27 12:27:57,user_0027,30.4
10.2951,5243762,162,38.32509,-7.09724,Faro,189.07,2024-09-21 01:06:17,user_0110,24.7
6.6583,7753472,159,40.552661,-7.4053,Lisboa,78.49,2024-02-26 11:12:34,user_0159,13.7
1.9184,8231691,163,38.2839,-6.49148,Aveiro,196.51,2024-05-29 08:05:54,user_0106,27.9
7.4781,9418124,116,40.473384,-8.659694,Viseu,64.69,2023-02-03 10:50:35,user_0198,9.7
0.6124,1696609,175,38.819801,-6.425023,Porto,133.82,2023-06-16 08:46:40,user_0171,16.7
13.6489,3569769,135,40.754492,-6.407798,Braga,100.74,2023-07-31 06:04:37,user_0120,19.0
3.9558,3609684,68,37.61405,-8.023517,Braga,173.95,2023-02-28 05:57:19,user_0082,32.2
9.9716,28885,118,37.9249,-9.179087,Coimbra,90.46,2023-06-19 22:29:46,user_0052,15.8
4.7445,4590723,59,40.329558,-7.029696,Évora,61.61,2023-03-15 17:32:42,user_0014,6.7
7.849,2812753,190,39.701156,-8.354443,Leiria,118.05,2023-07-22 22:05:51,user_0187,11.3
8.246,4589764,177,37.919392,-6.79724,Braga,68.98,2024-04-09 01:11:29,user_0020,26.3
2.8543,3129985,148,41.414135,-8.943453,Lisboa,100.61,2023-09-24 07:51:35,user_0118,5.5
14.5468,1379339,81,38.279721,-7.665649,Viseu,150.12,2023-09-28 05:34:13,user_0052,32.7
11.6495,2118736,161,39.005357,-7.772549,Lisboa,101.26,2023-06-02 22:33:47,user_0101,36.5
14.0985,8045409,73,37.91144,-9.158931,Setúbal,94.41,2023-07-14 21:27:05,user_0040,22.3
13.4329,819973,84,38.840138,-8.264668,Faro,81.77,2024-11-14 18:11:18,user_0068,29.8
9.0087,2650503,132,39.358234,-9.211832,Viseu,78.92,2024-04-18 01:34:47,user_0044,21.2
13.8359,1118844,119,38.376235,-7.919883,Évora,133.62,2024-03-20 15:58:30,user_0134,15.8
1.4185,9817534,158,40.745468,-6.634125,Évora,155.41,2023-05-05 22:20:56,user_0087,10.8
3.0201,5701048,148,38.869665,-8.581304,Braga,123.38,2024-06-16 06:18:05,user_0120,23.1
0.7739,3894142,82,40.54755,-6.899469,Évora,77.3,2023-04-30 06:48:42,user_0057,37.5
4.9474,6462280,105,37.935361,-8.876347,Leiria,150.69,2023-10-05 00:03:33,user_0186,36.1
5.8913,7042049,196,38.785177,-7.209301,Aveiro,138.0,2024-12-23 08:26:56,user_0072,37.2
4.1431,5638663,61,36.940291,-6.387173,Braga,113.38,2024-04-12 04:47:44,user_0158,38.8
12.4482,9846521,60,40.693188,-8.398645,Viseu,106.21,2024-02-11 13:45:34,user_0052,10.8
5.4156,6226659,119,40.029433,-6.4386,Faro,85.64,2024-05-14 18:26:30,user_0011,10.1
4.2859,9635337,189,40.989117,-7.781569,Aveiro,80.48,2024-09-07 06:45:56,user_0175,20.0
8.1862,2781652,90,39.178054,-8.422863,Porto,107.43,2024-07-20 11:31:06,user_0005,29.1
2.1998,2091219,155,40.898703,-6.451872,Évora,65.83,2023-06-17 04:55:19,user_0131,20.4
12.0527,9376775,52,40.137913,-9.391073,Viseu,121.13,2023-01-24 10:23:46,user_0143,36.2
1.2108,4217635,52,36.918065,-9.404736,Viseu,144.22,2023-08-19 06:44:14,user_0130,30.1
14.8046,8836621,133,38.168471,-7.460579,Évora,191.83,2023-07-15 10:49:12,user_0002,27.2
11.6064,2286319,156,39.369457,-6.791048,Aveiro,147.62,2023-06-04 00:25:09,user_0200,7.5
3.0609,931253,183,39.993437,-6.944743,Lisboa,147.37,2024-11-19 07:46:41,user_0182,11.1
0.1823,1844053,69,37.227954,-9.229804,Aveiro,112.42,2024-10-01 17:57:38,user_0174,20.0
12.2504,542955,188,40.4254,-6.269146,Lisboa,78.66,2023-08-18 17:09:23,user_0094,39.2
10.6322,3307735,145,39.61768,-7.109584,Braga,122.57,2024-04-23 11:17:07,user_0127,16.7
10.9622,4791126,173,39.528897,-6.273019,Leiria,143.81,2023-10-16 19:28:15,user_0126,27.0
11.5919,8761753,70,38.360228,-8.381068,Coimbra,161.36,2024-10-29 14:52:25,user_0041,39.6
1.2033,2053413,163,39.874115,-7.140607,Viseu,175.65,2023-12-01 23:05:04,user_0197,14.2
5.4411,6685941,62,37.037464,-6.576208,Leiria,95.83,2023-07-13 08:42:01,user_0030,10.8
1.8264,9074219,135,37.223502,-8.206422,Lisboa,93.77,2023-06-30 00:54:50,user_0044,24.1
12.9602,1657387,84,40.56935,-6.219476,Aveiro,139.14,2024-02-14 19:10:10,user_0010,24.3
9.3871,2791241,96,38.509457,-8.599025,Braga,139.24,2023-07-11 19:13:58,user_0030,37.3
5.0304,8037821,198,38.634835,-8.426914,Évora,90.51,2024-03-02 17:56:47,user_0075,5.9
1.047,1220985,195,37.941926,-6.370883,Porto,142.25,2024-10-17 09:51:24,user_0049,19.3
4.7336,8734352,174,39.128103,-6.203157,Évora,108.42,2023-10-19 13:29:48,user_0163,15.9
4.9452,2604325,159,37.159967,-8.530334,Évora,149.5,2023-06-10 02:29:58,user_0193,25.0
10.9711,2761623,86,38.401816,-9.036274,Leiria,100.75,2024-12-29 04:51:31,user_0145,5.3
9.5996,1676850,70,39.53562,-6.919212,Porto,142.92,2024-01-07 22:54:02,user_0159,29.9
13.3195,3783799,63,39.22816,-6.339138,Aveiro,167.56,2023-03-08 08:43:58,user_0070,22.0
7.136,5709716,140,41.898348,-7.457574,Faro,197.22,2023-02-04 09:28:44,user_0180,29.5
1.882,3886932,109,38.843823,-7.342636,Viseu,187.55,2023-03-22 01:03:09,user_0026,20.7
10.7273,432184,173,38.834995,-6.905993,Leiria,130.5,2024-04-03 00:51:16,user_0100,21.6
11.4357,9598333,72,39.417909,-8.979512,Aveiro,128.37,2024-08-01 05:13:49,user_0133,36.3
8.463,2336806,160,37.851516,-6.190206,Braga,121.28,2023-11-05 04:14:33,user_0111,12.4
11.5874,7517201,173,41.281522,-8.26128,Braga,63.89,2023-02-16 09:00:19,user_0014,12.6
7.4576,2908087,79,39.761339,-7.363983,Viseu,83.23,2023-10-06 13:58:11,user_0051,24.6
7.8887,658139,164,37.860538,-7.906706,Aveiro,68.29,2024-12-28 04:02:47,user_0015,28.1
6.4704,2970424,139,40.867208,-7.908185,Leiria,157.49,2024-01-22 06:04:59,user_0128,17.4
0.4787,6592863,87,37.071661,-7.110669,Porto,117.85,2024-12-09 21:17:35,user_0140,23.2
1.7076,8234955,132,41.812821,-6.118148,Braga,68.93,2024-09-20 08:51:37,user_0046,13.0
0.5683,6608687,76,41.225747,-7.259197,Aveiro,156.68,2023-01-09 09:08:51,user_0192,9.8
9.5825,4105513,153,39.798197,-6.800199,Porto,150.22,2024-06-10 03:02:46,user_0072,13.3
4.7839,6215241,165,37.456478,-9.406105,Aveiro,160.79,2024-05-12 15:33:56,user_0187,37.1
7.6777,4317293,64,37.976364,-6.744547,Faro,143.98,2024-01-27 23:43:12,user_0095,33.1
13.6227,3061481,52,38.297176,-8.480082,Setúbal,82.62,2023-07-14 18:46:38,user_0154,9.9
3.8145,6053912,59,38.105159,-9.069214,Viseu,68.59,2024-04-12 21:39:02,user_0029,6.6
6.2147,8688458,169,39.3876,-9.114664,Coimbra,174.4,2023-03-23 10:23:38,user_0132,8.3
11.3577,5604065,194,41.622802,-7.188426,Braga,90.21,2023-11-14 09:05:13,user_0178,15.3
3.5091,8429747,177,39.120863,-6.108103,Aveiro,135.95,2023-11-28 05:14:21,user_0025,33.4
1.247,9160573,60,40.207823,-7.234937,Leiria,127.93,2024-11-27 06:51:18,user_0168,16.2
4.4173,303446,182,40.342916,-8.608016,Aveiro,188.95,2024-10-01 08:56:36,user_0032,11.5
2.5022,3371484,118,41.257904,-8.80876,Leiria,137.34,2023-07-12 06:34:34,user_0100,18.9
13.9525,1398558,113,37.069106,-7.711746,Lisboa,141.2,2024-01-01 10:16:07,user_0037,9.3
12.141,9374271,63,38.92165,-9.278866,Faro,104.73,2023-05-11 09:58:51,user_0126,21.5
9.5377,2761158,99,40.823676,-8.142275,Évora,194.22,2024-10-28 05:14:23,user_0138,28.6
13.0848,1717479,121,40.974335,-7.234801,Aveiro,145.73,2024-09-27 11:29:07,user_0166,17.9
12.0747,1045716,118,41.536663,-6.209948,Porto,60.7,2023-08-06 20:45:09,user_0189,11.1
2.8799,3823873,184,40.413972,-8.052778,Coimbra,137.85,2024-04-11 10:23:42,user_0100,20.9
13.3991,2961937,176,38.12577,-8.819239,Évora,110.94,2024-03-20 13:09:29,user_0027,31.7
8.1362,3693793,65,39.428329,-6.720968,Faro,64.5,2023-04-22 13:44:38,user_0135,7.7
12.1309,6115762,127,37.061726,-6.969722,Lisboa,120.42,2024-07-10 15:11:21,user_0099,7.5
13.4518,2553589,150,40.134642,-6.577007,Porto,168.3,2024-01-29 17:55:14,user_0137,16.1
4.8383,6197649,105,39.671476,-8.769956,Faro,130.53,2024-07-22 09:32:09,user_0187,19.5
1.7398,1698413,154,40.234181,-8.123571,Setúbal,149.52,2024-01-23 03:47:46,user_0036,12.6
3.4962,137799,181,41.550703,-6.162715,Lisboa,149.56,2023-01-01 10:01:10,user_0118,5.9
6.4639,4960124,97,40.336383,-8.962656,Braga,153.94,2023-08-25 15:12:50,user_0158,12.7
12.2884,8570397,66,38.50225,-7.217067,Setúbal,114.26,2023-01-15 05:13:57,user_0019,20.2
12.9249,3817780,160,37.893683,-8.693573,Setúbal,111.8,2024-11-09 05:48:27,user_0169,7.8
0.2036,7895945,119,41.173181,-7.799459,Évora,60.64,2024-10-03 11:12:26,user_0055,30.1
7.7101,8151382,129,37.871661,-6.778267,Viseu,81.59,2024-08-30 02:46:48,user_0084,24.3
6.3194,4170163,142,37.708048,-7.838807,Braga,193.11,2023-08-13 11:38:50,user_0006,20.2
3.4094,4628656,87,37.93306,-6.761362,Lisboa,177.94,2023-02-12 06:50:56,user_0123,23.2
1.886,6144138,150,39.444204,-8.050461,Évora,98.52,2024-10-02 22:43:41,user_0107,28.0
5.1305,5882049,111,37.520937,-6.1022,Braga,116.17,2024-11-22 06:33:15,user_0088,39.8
14.1494,5688505,170,41.590592,-8.018184,Faro,191.59,2023-03-04 12:38:54,user_0150,32.1
4.9157,9190617,97,41.731269,-8.99211,Coimbra,95.06,2023-12-21 18:33:10,user_0198,23.9
7.83,7687331,59,41.769009,-8.133644,Lisboa,134.55,2023-02-20 12:36:11,user_0152,32.0
10.575,4306080,85,37.095624,-6.975183,Évora,63.09,2024-07-09 05:44:59,user_0062,21.6
5.5181,7073575,53,41.630988,-6.617012,Coimbra,146.76,2024-07-13 01:25:09,user_0170,15.9
14.5796,6805080,93,41.887075,-7.935649,Lisboa,190.21,2023-04-04 17:25:06,user_0150,14.2
14.4405,212803,105,41.612146,-7.478779,Setúbal,183.86,2023-12-13 22:56:50,user_0144,19.0
3.8516,2255913,91,40.254695,-6.627374,Coimbra,130.28,2024-02-06 08:33:32,user_0141,5.1
7.509,8006546,163,40.406151,-6.733943,Coimbra,150.95,2023-07-13 11:47:31,user_0120,11.2
4.5831,6789329,190,37.511265,-7.263739,Porto,139.77,2024-09-28 21:01:36,user_0037,9.4
4.3441,4215645,70,41.271485,-6.728908,Lisboa,69.38,2023-11-05 21:22:36,user_0180,38.6
0.6496,6651154,128,37.198198,-7.541903,Braga,82.22,2023-06-04 14:42:16,user_0152,7.3
9.1825,9642937,118,38.488653,-9.484196,Viseu,194.93,2024-01-29 16:28:02,user_0125,22.5
7.5899,2870581,119,41.855758,-9.359693,Faro,95.84,2024-06-16 20:23:32,user_0017,37.2
0.867,7689935,116,39.011639,-6.168651,Leiria,113.82,2023-05-27 20:09:59,user_0016,26.3
4.2518,7015232,97,37.555781,-9.007027,Évora,131.25,2023-08-16 13:16:09,user_0129,22.3
13.6332,8120459,85,41.746473,-8.124644,Coimbra,197.08,2024-12-27 11:01:00,user_0085,31.0
3.6695,5014049,198,41.820698,-6.325042,Aveiro,156.6,2024-04-19 09:51:48,user_0125,17.4
2.2589,6600500,76,37.835213,-8.836866,Coimbra,148.14,2023-11-16 19:30:48,user_0001,11.8
7.3928,78840,121,41.224019,-6.631109,Setúbal,133.42,2024-01-13 19:55:43,user_0030,34.7
14.7862,5408647,150,38.852117,-6.71789,Lisboa,158.09,2023-03-30 07:59:36,user_0024,7.0
3.7066,161297,145,38.806842,-6.146479,Setúbal,152.96,2023-06-14 00:41:50,user_0046,33.3
10.1148,1931375,177,38.213488,-8.542282,Viseu,186.4,2023-09-04 19:15:32,user_0002,8.6
11.4481,4243460,75,37.123551,-8.427894,Faro,135.86,2024-03-05 11:10:07,user_0143,26.9
3.6408,2305433,115,38.240045,-6.430215,Porto,119.01,2023-06-17 23:36:36,user_0029,21.7
10.9504,5926069,189,37.168885,-8.704131,Lisboa,173.0,2023-06-10 18:12:30,user_0099,39.9
5.58,4220242,71,41.52186,-7.637137,Setúbal,171.97,2023-02-21 19:47:55,user_0062,18.6
9.5214,6739202,66,40.208603,-7.095027,Porto,83.78,2024-04-05 16:55:25,user_0013,38.5
9.5396,2087001,56,41.333113,-8.575594,Leiria,93.15,2023-06-17 03:03:36,user_0065,19.1
8.083,2681722,156,40.486453,-6.309396,Leiria,194.21,2024-10-22 22:57:31,user_0045,28.9
1.4453,3455673,117,37.556434,-7.236628,Lisboa,122.18,2024-09-19 12:48:43,user_0047,27.5
12.546,7605502,177,41.602908,-9.339726,Faro,132.75,2023-02-21 17:25:14,user_0016,8.0
4.8796,8261195,86,41.399465,-9.038492,Aveiro,103.42,2023-06-23 17:50:28,user_0126,31.0
2.8791,1731530,87,38.64038,-8.851343,Coimbra,127.35,2024-05-03 08:29:26,user_0107,12.3
0.7075,5358699,145,37.457667,-8.667145,Braga,164.07,2023-06-06 09:25:43,user_0003,18.6
8.9043,6773329,188,40.420774,-7.015697,Faro,127.53,2023-04-07 14:06:12,user_0104,32.4
10.1957,8530508,50,40.541807,-9.19762,Faro,104.07,2024-11-13 22:12:34,user_0198,38.1
0.3472,5552612,91,41.384145,-8.307978,Aveiro,73.44,2024-02-21 20:40:29,user_0095,24.6
7.7302,7089109,112,37.163279,-6.401297,Setúbal,189.96,2023-12-12 01:11:46,user_0133,23.2
3.4748,6829313,130,37.608519,-7.60733,Porto,182.03,2024-07-26 18:31:56,user_0154,22.7
9.7131,6212695,57,39.891244,-8.597312,Lisboa,170.79,2024-08-12 11:20:50,user_0092,33.6
2.6981,9057483,76,39.995658,-6.246009,Braga,157.17,2023-05-19 23:58:54,user_0015,39.8
10.395,4790287,101,37.068048,-8.669326,Porto,132.17,2023-03-12 18:13:40,user_0183,27.2
5.8624,253078,195,38.88466,-6.422661,Coimbra,185.64,2023-11-11 16:01:00,user_0150,18.3
14.0573,368893,140,39.820809,-7.032383,Braga,170.84,2023-11-06 05:05:50,user_0037,12.7
2.1491,3101883,135,40.589557,-6.982228,Leiria,174.24,2023-12-07 22:16:19,user_0157,12.0
5.1819,5398856,65,38.480753,-6.899206,Faro,103.34,2024-06-16 05:24:31,user_0154,35.0
1.7908,715295,115,39.319517,-7.777664,Coimbra,119.28,2024-05-06 13:20:48,user_0070,39.7
13.8779,1878798,54,40.970274,-6.730432,Viseu,158.95,2024-12-19 10:34:28,user_0139,29.4
13.1724,4000740,131,41.669475,-6.656943,Leiria,111.95,2023-03-13 20:16:51,user_0100,38.5
3.9433,9381260,180,38.051573,-8.274345,Coimbra,129.16,2023-10-21 21:55:29,user_0148,17.2
9.9338,1054212,167,38.165211,-8.138829,Setúbal,150.51,2023-09-05 16:34:53,user_0084,27.0
12.2766,2358730,130,41.599091,-6.478227,Viseu,121.29,2024-09-21 00:30:10,user_0091,22.9
8.3725,3485001,119,38.879556,-7.715921,Lisboa,171.03,2023-07-01 12:27:32,user_0198,21.9
7.9918,2080563,164,40.491742,-6.552392,Porto,76.28,2023-05-19 20:27:36,user_0033,27.1
3.7036,8672424,56,39.961326,-7.368984,Coimbra,160.53,2023-11-24 11:42:33,user_0121,15.9
1.4872,4715697,99,38.327938,-7.48187,Leiria,80.33,2023-11-04 23:21:58,user_0030,27.4
13.4685,5243534,191,40.167811,-9.394665,Setúbal,191.3,2023-07-23 08:06:39,user_0178,28.6
13.5162,7669510,160,40.17783,-8.555159,Setúbal,103.97,2023-07-02 08:36:32,user_0034,34.3
9.5332,125851,96,39.862216,-7.793004,Leiria,171.36,2024-11-04 23:36:47,user_0133,30.6
5.1515,2650527,161,37.398304,-7.503122,Coimbra,133.0,2023-11-20 11:39:02,user_0140,16.2
5.3032,4861282,92,41.875859,-7.356523,Braga,72.75,2024-09-20 18:50:10,user_0076,20.8
10.9167,794878,140,38.902082,-7.064842,Évora,141.56,2024-02-06 17:41:58,user_0075,9.2
13.4669,2053262,78,40.091255,-7.268806,Évora,187.7,2023-02-06 22:18:27,user_0052,14.0
13.3176,1937135,177,41.328808,-6.614839,Leiria,82.01,2024-12-30 11:25:43,user_0051,23.2
11.7201,8186565,182,39.016442,-8.495401,Setúbal,104.98,2024-09-02 07:12:11,user_0149,8.5
9.6663,6449728,145,40.769625,-7.318662,Porto,121.48,2024-12-08 08:48:51,user_0199,25.0
1.3537,8614787,166,41.759122,-9.326058,Setúbal,98.51,2024-11-07 05:56:58,user_0058,18.7
2.5083,2072171,119,38.694674,-7.867354,Aveiro,192.13,2024-09-11 13:08:57,user_0098,6.2
13.4885,5460388,179,38.926348,-8.588688,Setúbal,112.85,2023-05-02 09:46:14,user_0125,20.2
9.1358,8381660,119,41.42788,-8.204984,Leiria,152.13,2023-12-21 12:25:57,user_0192,14.8
0.237,4544340,159,37.698214,-8.294147,Coimbra,91.35,2023-06-06 00:51:09,user_0093,7.3
1.6119,6112240,181,37.042974,-9.294536,Braga,90.76,2023-10-20 18:13:33,user_0134,15.3
9.9862,1200346,105,41.444445,-7.913404,Faro,84.62,2023-02-12 19:17:31,user_0177,15.3
0.1754,8873895,138,41.007958,-6.11826,Braga,120.87,2023-10-04 15:36:32,user_0200,17.4
2.496,6214294,186,41.762915,-8.483617,Porto,134.6,2024-12-20 06:36:39,user_0037,17.8
8.2761,1760399,180,37.191189,-6.997104,Porto,61.5,2023-07-13 14:21:27,user_0138,20.0
10.4092,8684509,149,37.680887,-7.63752,Coimbra,176.61,2024-07-26 08:55:01,user_0194,8.2
9.8142,6136062,178,37.426563,-8.394234,Braga,131.79,2023-11-29 03:44:47,user_0056,5.2
3.4416,6347572,106,40.317081,-9.195336,Leiria,82.01,2023-11-05 19:05:28,user_0083,30.8
10.7115,6435689,193,39.93005,-8.766083,Évora,69.42,2024-11-29 20:12:18,user_0071,16.8
3.635,4143403,100,38.696676,-6.841698,Setúbal,68.85,2024-12-27 15:48:19,user_0066,26.5
4.9485,2203531,161,37.187117,-8.551331,Viseu,96.07,2024-02-10 17:03:39,user_0045,15.7
11.2227,1069412,153,40.09831,-9.009372,Aveiro,129.9,2024-06-08 10:30:46,user_0087,39.4
9.7795,4415743,176,39.750602,-8.373586,Leiria,180.43,2023-04-24 00:02:25,user_0095,16.0
12.7534,9623904,104,37.464516,-7.514254,Braga,186.42,2023-08-05 14:19:15,user_0196,26.2
9.8984,3303131,50,41.444549,-7.108225,Viseu,176.53,2024-12-08 03:47:17,user_0192,12.7
8.5678,6266376,139,37.894749,-8.18296,Évora,106.0,2024-02-27 19:14:19,user_0144,23.1
1.4958,2953028,102,40.617546,-7.8063,Leiria,102.92,2024-01-31 19:15:35,user_0010,25.3
5.579,7490291,122,41.325379,-7.953283,Lisboa,198.24,2024-06-30 00:31:54,user_0149,11.4
4.0515,5385909,157,39.797375,-9.469389,Viseu,155.38,2023-02-11 17:32:08,user_0140,9.3
3.7354,397595,199,38.134245,-8.154958,Leiria,102.69,2024-03-02 10:47:29,user_0013,39.1
14.5979,6188343,57,38.446243,-7.503113,Évora,106.07,2024-01-03 01:56:19,user_0081,36.3
5.9572,3793092,91,41.328738,-7.562188,Viseu,120.85,2024-09-14 11:39:09,user_0117,28.1
13.3915,1731041,74,38.391286,-6.95079,Coimbra,147.05,2023-04-25 22:13:17,user_0138,35.1
9.504,7734125,87,40.630952,-7.220722,Setúbal,185.72,2024-12-02 08:50:46,user_0122,8.3
11.9427,6113100,134,41.850826,-8.558857,Setúbal,87.76,2023-02-28 11:33:10,user_0141,30.5
7.5893,3590511,73,41.899084,-8.630812,Setúbal,71.82,2023-05-16 15:39:11,user_0162,15.0
8.6959,2417209,109,39.567399,-7.921918,Porto,116.81,2024-03-10 09:00:54,user_0059,23.9
7.4385,526925,160,41.032779,-7.007903,Faro,94.36,2024-05-07 21:43:26,user_0128,31.8
3.0091,6757450,115,41.851249,-9.180987,Évora,140.64,2023-06-21 16:46:20,user_0049,6.2
10.8645,2925609,191,38.773364,-6.27569,Setúbal,157.89,2023-03-29 12:24:48,user_0006,29.3
4.2835,9145155,102,38.162048,-7.653279,Braga,103.5,2024-10-11 21:50:01,user_0012,20.2
0.4623,606752,155,37.471167,-8.458211,Faro,155.96,2023-06-29 17:41:34,user_0029,20.4
9.7175,1339462,145,37.604498,-7.14247,Aveiro,108.04,2024-03-09 23:58:32,user_0077,36.8
2.7389,6827575,88,41.167782,-9.347932,Faro,148.9,2024-03-28 03:33:50,user_0124,35.1
14.1128,7687268,91,39.843615,-7.85305,Viseu,148.63,2023-11-03 00:49:13,user_0026,7.0
14.3135,6117682,160,41.268546,-7.847703,Braga,98.94,2024-03-02 01:56:18,user_0068,26.6
13.7315,7204425,153,40.847275,-8.949284,Leiria,149.0,2024-01-17 15:09:11,user_0016,20.3
5.6154,5158570,126,40.268723,-6.652881,Braga,113.33,2024-11-13 08:03:13,user_0053,9.1
0.3303,4823416,57,39.946561,-6.790839,Porto,107.1,2023-05-30 02:37:16,user_0147,34.8
13.9319,5210766,75,37.141695,-8.98071,Setúbal,100.5,2024-06-06 19:40:49,user_0175,7.5
6.4799,1137317,189,41.261376,-8.262987,Aveiro,108.39,2023-06-24 05:46:40,user_0160,6.1
14.5032,7358862,92,38.98921,-9.15854,Setúbal,170.14,2023-10-16 22:10:04,user_0070,11.9
14.4579,5560068,159,39.698934,-6.61473,Lisboa,94.33,2024-05-05 08:00:45,user_0198,15.6
12.8098,2957532,149,37.009768,-8.400712,Aveiro,155.48,2023-08-07 23:56:55,user_0189,7.1
4.4873,2166354,112,41.580368,-8.006325,Lisboa,186.09,2023-08-19 19:25:28,user_0005,27.4
5.838,299189,98,41.413702,-8.398835,Leiria,109.06,2024-07-02 20:39:57,user_0187,20.3
12.7819,6508850,164,39.61639,-8.445912,Aveiro,64.13,2023-02-22 22:57:19,user_0130,19.4
4.8221,1559049,186,39.786558,-6.959172,Setúbal,63.44,2023-12-01 13:09:44,user_0130,10.1
2.6254,6136821,114,40.425086,-6.958275,Porto,79.53,2024-12-29 20:55:18,user_0003,20.3
8.3963,2374494,120,38.223474,-7.73952,Leiria,75.41,2024-12-28 03:36:35,user_0198,18.7
14.0487,9244561,56,38.009578,-7.264102,Aveiro,164.73,2023-02-23 11:31:40,user_0095,18.4
10.4708,504655,129,40.270115,-7.760345,Coimbra,101.28,2023-06-05 14:27:48,user_0043,12.6
8.5939,236824,116,37.422112,-9.402797,Porto,151.35,2023-07-13 14:18:40,user_0133,8.3
1.5479,9456587,187,39.17031,-9.275578,Setúbal,65.94,2024-11-12 06:42:15,user_0178,14.1
9.2636,3149409,150,39.363802,-8.195282,Lisboa,101.4,2024-10-05 00:44:25,user_0010,28.4
14.8518,4548003,144,38.806685,-6.950862,Évora,92.78,2024-10-03 20:48:52,user_0155,7.6
2.1873,4025282,136,37.826341,-6.395031,Lisboa,98.76,2023-09-27 18:06:52,user_0024,18.4
